EmployeeNumber,Age,Gender,MaritalStatus,Department,EducationField,Education,BusinessTravel,DistanceFromHome,JobRole,JobLevel,JobInvolvement,JobSatisfaction,EnvironmentSatisfaction,RelationshipSatisfaction,WorkLifeBalance,PerformanceRating,NumCompaniesWorked,TotalWorkingYears,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,TrainingTimesLastYear,StockOptionLevel,OverTime,PercentSalaryHike,MonthlyIncome,DailyRate,HourlyRate,MonthlyRate,Attrition,Attrition_Flag,TenureRatio,JobHoppingIndex,SatisfactionScore,IncomeToLevelRatio,PromotionStagnation,ManagerStability,IsFrequentTraveler,HasNoStockOptions,IsEarlyCareer,LongCommute,AgeGroup
1,21,Male,Married,Sales,Medical,1,Travel_Rarely,22,Laboratory Technician,1,3,4,2,4,3,3,7,0,0,0,0,0,1,3,No,22,3650,741,58,20927,Yes,1,0.0,7.0,3.25,0.6449610076350845,0.0,0.0,0,0,1,1,18-25
2,51,Male,Married,Research & Development,Life Sciences,3,Travel_Rarely,26,Human Resources,2,2,3,4,4,2,3,6,33,28,18,8,17,1,2,No,13,9247,381,67,3087,No,0,0.8484848484848485,0.18181818181818182,3.25,1.144631873296625,0.2857142857142857,0.6071428571428571,0,0,0,1,46-55
3,46,Male,Married,Research & Development,Medical,4,Travel_Rarely,5,Human Resources,4,1,3,1,3,3,3,1,26,24,8,12,2,5,0,No,15,13907,636,38,16581,No,0,0.9230769230769231,0.038461538461538464,2.5,1.0922599160242152,0.5,0.08333333333333333,0,1,0,0,46-55
4,36,Male,Married,Research & Development,Life Sciences,1,Travel_Rarely,8,Human Resources,1,4,2,1,2,1,3,8,14,3,0,0,1,0,2,No,22,5875,797,89,17433,Yes,1,0.21428571428571427,0.5714285714285714,1.5,1.038122169823595,0.0,0.3333333333333333,0,0,0,0,36-45
5,36,Female,Divorced,Research & Development,Life Sciences,2,Travel_Rarely,2,Manufacturing Director,5,2,4,3,3,4,3,0,15,4,0,1,0,0,1,Yes,24,13126,1079,74,5884,No,0,0.26666666666666666,0.0,3.5,0.8843624917515329,0.25,0.0,0,0,0,0,36-45
6,54,Male,Married,Research & Development,Medical,2,Travel_Rarely,15,Laboratory Technician,1,1,1,3,3,4,3,9,31,22,4,12,14,5,0,Yes,21,7226,793,66,8070,No,0,0.7096774193548387,0.2903225806451613,2.75,1.2768460934715398,0.5454545454545454,0.6363636363636364,0,1,0,1,46-55
7,21,Male,Divorced,Sales,Marketing,1,Travel_Frequently,15,Research Director,4,4,2,3,4,1,3,7,0,0,0,0,0,2,1,Yes,20,9380,244,73,14185,Yes,1,0.0,7.0,2.5,0.7367079896675874,0.0,0.0,1,0,1,1,18-25
8,47,Female,Divorced,Sales,Technical Degree,5,Travel_Frequently,1,Sales Executive,4,1,4,1,1,3,3,2,27,11,5,3,8,4,2,No,22,14869,752,71,17821,No,0,0.4074074074074074,0.07407407407407407,2.25,1.1678156821287162,0.2727272727272727,0.7272727272727273,1,0,0,0,46-55
9,26,Male,Single,Research & Development,Technical Degree,3,Travel_Rarely,20,Human Resources,5,3,2,2,1,3,3,1,4,1,0,0,0,2,1,No,15,15731,1287,60,23252,No,0,0.25,0.25,2.0,1.0598740178076613,0.0,0.0,0,0,0,1,26-35
10,22,Male,Married,Sales,Technical Degree,4,Travel_Rarely,1,Manager,4,2,1,4,1,3,3,6,0,0,0,0,0,0,0,No,11,8949,128,42,20159,No,0,0.0,6.0,2.25,0.7028571214856333,0.0,0.0,0,1,1,0,18-25
11,40,Female,Married,Human Resources,Technical Degree,3,Travel_Rarely,23,Manager,3,4,2,1,1,3,3,8,19,11,8,2,8,4,2,No,19,8651,1497,64,26389,Yes,1,0.5789473684210527,0.42105263157894735,1.75,0.8413792946417652,0.18181818181818182,0.7272727272727273,0,0,0,1,36-45
12,59,Male,Divorced,Research & Development,Marketing,5,Travel_Rarely,21,Manufacturing Director,4,1,2,4,3,3,4,4,37,7,1,3,4,0,1,Yes,19,15879,279,87,7568,Yes,1,0.1891891891891892,0.10810810810810811,3.0,1.2471413825087017,0.42857142857142855,0.5714285714285714,0,0,0,1,56-60
13,49,Male,Married,Sales,Life Sciences,5,Non-Travel,24,Human Resources,2,4,3,1,1,2,3,0,28,22,6,3,9,3,1,No,23,10121,112,33,11811,No,0,0.7857142857142857,0.0,1.75,1.2528192051081586,0.13636363636363635,0.4090909090909091,0,0,0,1,46-55
14,50,Male,Single,Sales,Marketing,4,Travel_Rarely,4,Sales Representative,3,1,1,1,1,2,3,4,27,11,8,0,4,6,0,No,14,11680,297,58,8518,No,0,0.4074074074074074,0.14814814814814814,1.25,1.1359738945111337,0.0,0.36363636363636365,0,1,0,0,46-55
15,48,Female,Married,Sales,Life Sciences,2,Travel_Rarely,26,Sales Executive,5,4,2,4,2,3,3,4,29,15,9,6,4,1,0,No,24,15630,450,88,24269,No,0,0.5172413793103449,0.13793103448275862,2.75,1.0530691563367713,0.4,0.26666666666666666,0,1,0,1,46-55
16,51,Male,Single,Research & Development,Life Sciences,3,Travel_Rarely,16,Healthcare Representative,1,2,4,2,4,3,3,3,31,19,16,4,2,1,0,No,18,7512,592,71,17289,No,0,0.6129032258064516,0.0967741935483871,3.25,1.3273827642067821,0.21052631578947367,0.10526315789473684,0,1,0,1,46-55
17,40,Male,Married,Research & Development,Life Sciences,5,Travel_Frequently,26,Research Director,2,1,1,3,2,3,3,9,21,7,1,1,3,6,2,No,17,7555,1261,31,14697,No,0,0.3333333333333333,0.42857142857142855,2.25,0.9351891210939767,0.14285714285714285,0.42857142857142855,1,0,0,1,36-45
18,23,Male,Married,Research & Development,Technical Degree,3,Travel_Rarely,21,Sales Executive,1,2,4,2,2,3,4,3,5,4,2,0,2,2,3,No,25,5173,913,90,16556,No,0,0.8,0.6,2.75,0.9140776143825458,0.0,0.5,0,0,0,1,18-25
19,54,Male,Married,Research & Development,Technical Degree,3,Travel_Rarely,20,Sales Representative,3,1,1,3,2,3,3,2,33,24,3,14,10,2,0,No,19,13164,994,33,10170,No,0,0.7272727272727273,0.06060606060606061,2.25,1.2803048242589523,0.5833333333333334,0.4166666666666667,0,1,0,1,46-55
20,37,Female,Divorced,Research & Development,Other,1,Non-Travel,1,Laboratory Technician,4,2,2,2,4,3,3,6,19,17,6,5,14,4,0,No,12,14470,1328,64,24154,No,0,0.8947368421052632,0.3157894736842105,2.75,1.1364781034637517,0.29411764705882354,0.8235294117647058,0,1,0,0,36-45
21,39,Male,Married,Research & Development,Other,5,Non-Travel,21,Healthcare Representative,1,3,3,2,2,4,4,6,20,11,7,6,1,0,0,No,14,6555,284,38,17370,No,0,0.55,0.3,2.75,1.1582792890542408,0.5454545454545454,0.09090909090909091,0,1,0,1,36-45
22,33,Male,Married,Human Resources,Human Resources,4,Travel_Rarely,14,Research Director,3,3,4,4,2,3,3,6,11,6,4,1,4,0,1,No,19,11118,412,49,14759,No,0,0.5454545454545454,0.5454545454545454,3.25,1.0813148766416767,0.16666666666666666,0.6666666666666666,0,0,0,0,26-35
23,25,Male,Married,Research & Development,Life Sciences,2,Travel_Rarely,25,Healthcare Representative,3,3,2,3,4,4,3,5,6,2,0,0,1,5,1,No,14,7566,1455,57,19616,No,0,0.3333333333333333,0.8333333333333334,3.25,0.7358543224204827,0.0,0.5,0,0,0,1,18-25
24,57,Female,Divorced,Research & Development,Human Resources,3,Travel_Rarely,20,Sales Executive,4,4,1,3,2,4,3,3,34,21,5,2,14,6,1,No,13,16211,1179,48,21994,No,0,0.6176470588235294,0.08823529411764706,2.5,1.2732167612474692,0.09523809523809523,0.6666666666666666,0,0,0,1,56-60
25,51,Male,Divorced,Research & Development,Technical Degree,3,Travel_Rarely,3,Sales Executive,2,2,4,4,2,3,3,2,33,22,15,5,11,6,0,No,15,8421,182,92,11883,No,0,0.6666666666666666,0.06060606060606061,3.25,1.0423861798454503,0.22727272727272727,0.5,0,1,0,0,46-55
26,45,Female,Single,Research & Development,Human Resources,1,Travel_Rarely,26,Sales Representative,1,3,4,2,4,3,3,1,25,13,2,0,3,0,0,No,18,5912,416,70,20300,No,0,0.52,0.04,3.25,1.0446601307229095,0.0,0.23076923076923078,0,1,0,1,36-45
27,35,Female,Married,Research & Development,Life Sciences,5,Travel_Rarely,2,Human Resources,1,1,3,4,2,3,3,1,17,5,1,0,3,3,2,No,12,5220,623,55,21959,No,0,0.29411764705882354,0.058823529411764705,3.0,0.9223825917411346,0.0,0.6,0,0,0,0,26-35
28,53,Male,Single,Sales,Life Sciences,5,Travel_Rarely,9,Laboratory Technician,3,2,1,3,3,2,4,5,35,14,3,3,9,5,1,Yes,18,10608,145,50,18642,No,0,0.4,0.14285714285714285,2.25,1.0317132767957282,0.21428571428571427,0.6428571428571429,0,0,0,0,46-55
29,41,Female,Divorced,Research & Development,Other,5,Travel_Rarely,7,Human Resources,3,3,3,4,3,3,3,4,19,4,0,1,3,5,0,No,21,10058,916,65,4916,Yes,1,0.21052631578947367,0.21052631578947367,3.25,0.9782213553932348,0.25,0.75,0,1,0,0,36-45
