EmployeeNumber,Age,Gender,MaritalStatus,Department,EducationField,Education,BusinessTravel,DistanceFromHome,JobRole,JobLevel,JobInvolvement,JobSatisfaction,EnvironmentSatisfaction,RelationshipSatisfaction,WorkLifeBalance,PerformanceRating,NumCompaniesWorked,TotalWorkingYears,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,TrainingTimesLastYear,StockOptionLevel,OverTime,PercentSalaryHike,MonthlyIncome,DailyRate,HourlyRate,MonthlyRate,EmployeeCount,Over18,StandardHours,Attrition
1,21,Male,Married,Sales,Medical,1,Travel_Rarely,22,Laboratory Technician,1,3,4,2,4,3,3,7,0,0,0,0,0,1,3,No,22,3650,741,58,20927,1,Y,80,Yes
2,51,Male,Married,Research & Development,Life Sciences,3,Travel_Rarely,26,Human Resources,2,2,3,4,4,2,3,6,33,28,18,8,17,1,2,No,13,9247,381,67,3087,1,Y,80,No
3,46,Male,Married,Research & Development,Medical,4,Travel_Rarely,5,Human Resources,4,1,3,1,3,3,3,1,26,24,8,12,2,5,0,No,15,13907,636,38,16581,1,Y,80,No
4,36,Male,Married,Research & Development,Life Sciences,1,Travel_Rarely,8,Human Resources,1,4,2,1,2,1,3,8,14,3,0,0,1,0,2,No,22,5875,797,89,17433,1,Y,80,Yes
5,36,Female,Divorced,Research & Development,Life Sciences,2,Travel_Rarely,2,Manufacturing Director,5,2,4,3,3,4,3,0,15,4,0,1,0,0,1,Yes,24,13126,1079,74,5884,1,Y,80,No
6,54,Male,Married,Research & Development,Medical,2,Travel_Rarely,15,Laboratory Technician,1,1,1,3,3,4,3,9,31,22,4,12,14,5,0,Yes,21,7226,793,66,8070,1,Y,80,No
7,21,Male,Divorced,Sales,Marketing,1,Travel_Frequently,15,Research Director,4,4,2,3,4,1,3,7,0,0,0,0,0,2,1,Yes,20,9380,244,73,14185,1,Y,80,Yes
8,47,Female,Divorced,Sales,Technical Degree,5,Travel_Frequently,1,Sales Executive,4,1,4,1,1,3,3,2,27,11,5,3,8,4,2,No,22,14869,752,71,17821,1,Y,80,No
9,26,Male,Single,Research & Development,Technical Degree,3,Travel_Rarely,20,Human Resources,5,3,2,2,1,3,3,1,4,1,0,0,0,2,1,No,15,15731,1287,60,23252,1,Y,80,No
10,22,Male,Married,Sales,Technical Degree,4,Travel_Rarely,1,Manager,4,2,1,4,1,3,3,6,0,0,0,0,0,0,0,No,11,8949,128,42,20159,1,Y,80,No
11,40,Female,Married,Human Resources,Technical Degree,3,Travel_Rarely,23,Manager,3,4,2,1,1,3,3,8,19,11,8,2,8,4,2,No,19,8651,1497,64,26389,1,Y,80,Yes
12,59,Male,Divorced,Research & Development,Marketing,5,Travel_Rarely,21,Manufacturing Director,4,1,2,4,3,3,4,4,37,7,1,3,4,0,1,Yes,19,15879,279,87,7568,1,Y,80,Yes
13,49,Male,Married,Sales,Life Sciences,5,Non-Travel,24,Human Resources,2,4,3,1,1,2,3,0,28,22,6,3,9,3,1,No,23,10121,112,33,11811,1,Y,80,No
14,50,Male,Single,Sales,Marketing,4,Travel_Rarely,4,Sales Representative,3,1,1,1,1,2,3,4,27,11,8,0,4,6,0,No,14,11680,297,58,8518,1,Y,80,No
